Metric,Value
route__drc_errors,0
route__wirelength,54327
route__vias,5199
route__vias__singlecut,5199
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,5
design__critical_disconnected_pin__count,0
route__wirelength__max,768.885
design__instance__count__class:fill_cell,2166
design__instance__area__class:fill_cell,24521.6
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,81
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,81
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,81
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,81
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.18441
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19941
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.0155876
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00157888
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.000117287
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00157888
design_powergrid__voltage__worst,0.00157888
design_powergrid__voltage__worst__net:VPWR,1.18441
design_powergrid__drop__worst,0.0155876
design_powergrid__drop__worst__net:VPWR,0.0155876
design_powergrid__voltage__worst__net:VGND,0.00157888
design_powergrid__drop__worst__net:VGND,0.00157888
ir__voltage__worst,1.1799999999999999378275106209912337362766265869140625
ir__drop__avg,0.000594000000000000018436641102681505799409933388233184814453125
ir__drop__worst,0.0155999999999999992839061491167740314267575740814208984375
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
